conflicta_min1,conflicta_min2,conflicta_min3,conflicta_min4
0,0.1,0.0877049180327867,
0,0.222222222222222,0.0382428940568475,
0,0,0,
0,0,0,
0,0.1,0.0161490683229814,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.00555555555555556,
0,0.111111111111111,0.00845410628019324,
0,0,0,
0,0.125,0.0139508928571429,
0,0.111111111111111,0.0347222222222221,
0,0,0,
0,0.1,0.0142857142857143,
0,0.222222222222222,0.108194808982211,
0,0.111111111111111,0.0351787773933102,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.1,
0,0,0,
0,0,0,
0,0.2,0.0905362776025237,
0,0,0,
0,0,0,
0,0.3,0.114803625377644,
0,0.2,0.0594080338266387,
0,0.1,0.0284518828451883,
0,0,0,
0,0.111111111111111,0.0265339966832504,
0,0.125,0.00184426229508197,
0.111111111111111,0.111111111111111,0.111111111111111,
0,0.1,0.0516129032258064,
0,0.2,0.0229508196721312,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.0354838709677419,
0,0.111111111111111,0.0685446009389669,
0,0,0,
0,0.111111111111111,0.0249932083672914,
0,0,0,
0,0.0909090909090909,0.0429199053734371,
0,0.1,0.0624521072796933,
0,0.111111111111111,0.0878787878787877,
0,0.111111111111111,0.0252438324727481,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.0358620689655172,
0,0.111111111111111,0.00628930817610063,
0,0.2,0.103921568627451,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.2,0.0464285714285714,
0,0.1,0.0456790123456789,
0,0,0,
0,0.0909090909090909,0.037037037037037,
0,0,0,
0,0,0,
0,0.111111111111111,0.00917431192660551,
0,0,0,
0,0.181818181818182,0.0931263858093126,
0,0.1,0.0166666666666667,
0,0.1,0.00486111111111111,
0,0,0,
0,0.2,0.101754385964912,
0,0,0,
0,0.2,0.106451612903226,
0,0.111111111111111,0.0182421227197346,
0,0.1,0.00909090909090909,
0,0.1,0.0291866028708134,
0,0,0,
0,0,0,
0,0,0,
0.0909090909090909,0.181818181818182,0.166453265044814,
0,0.1,0.00380434782608696,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.0606666666666666,
0,0.111111111111111,0.0576576576576575,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00183823529411765,
0,0.111111111111111,0.00960219478737997,
0,0.125,0.0913140311804009,
0,0.3,0.0407228915662651,
0,0,0,
0,0,0,
0,0.1,0.0472527472527472,
0,0.1,0.0149253731343284,
0,0,0,
0,0,0,
0,0.1,0.0492957746478873,
0,0,0,
0,0,0,
0,0.111111111111111,0.0140350877192982,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0122605363984674,
0,0.1,0.0578512396694214,
0,0,0,
0,0,0,
0,0.111111111111111,0.00232693426410704,
0,0,0,
0,0.222222222222222,0.0578703703703702,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.0983870967741935,
0,0.222222222222222,0.123762376237623,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.00377358490566038,
0,0.111111111111111,0.0196078431372549,
0,0.111111111111111,0.0020639834881321,
0,0.1,0.0210526315789474,
0,0,0,
0,0,0,
0,0,0,
0,0.0909090909090909,0.0854816824966078,
0,0,0,
