compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39,compl_total40,compl_total41,compl_total42,compl_total43,compl_total44,compl_total45_1,compl_total45_2,compl_total45_3,compl_total45_4,compl_total45_5,compl_total45_6,compl_total45_7,compl_total45_8,compl_total46_1,compl_total46_2,compl_total46_3,compl_total46_4,compl_total47,compl_total48,compl_total49,compl_total50
13,0.100833333333333,8,18.6583333333333,1,0.000480373318693385,0.000485976117745071,,0,0,0,,0.32903980952381,0.114679577920018,8,4.0475,1,0.00194444444444444,0.557377049180328,0.096885245901639,24.8133495,,0.100833333333333,68.5,28.1388888888889,2.41666666666667,0.944444444444444,0,,95.1388888888889,4.66666666666667,0.194444444444444,0,0,,100,0,0,0,0,,0.266885720261375,0.310972222222222,,342,682,962,1342,1582,1862,2162,2462,281,601,1001,1321,0,0,1,
13,0.238611111111111,7,18.6439393939394,2,0.0391810080946874,0.0483714841115563,,0,0.142857142857143,0.0516206482593037,,0.515600158730159,0.150932580748029,7,4.08305555555556,2,0.16,1,0.234663023679417,21.7037479,,0.238611111111111,53.0555555555556,24.9166666666667,5.86111111111111,4.58333333333333,11.5833333333333,,82.1388888888889,5.97222222222222,11.8888888888889,0,0,,100,0,0,0,0,,0.779242308929543,0.310732323232323,,402,802,1082,1442,1822,2022,2262,2542,282,502,782,1102,0,0,1,
13,0.150277777777778,8,18.7097222222222,1,0.0118375774260151,0.0149131854908028,,0,0,0,,0.413480971428571,0.125394915556656,8,4.03583333333333,1,0.0477777777777778,1,0.144143897996357,24.8833367,,0.150277777777778,61.3333333333333,29.6111111111111,4.41666666666667,1.58333333333333,3.05555555555556,,86.8888888888889,10.4722222222222,2.63888888888889,0,0,,100,0,0,0,0,,0.606270205739593,0.311828703703704,,381,681,1021,1261,1661,1981,2321,2541,281,561,781,1181,0,0,1,
13,0.466388888888889,9,20.3269230769231,2,0.115925575528225,0.124939170336282,,0,0,0,,0.666208292682927,0.247621708303566,9,4.40416666666667,2,0.586944444444444,1,0.462440801457195,24.7791263,,0.466388888888889,35.5277777777778,14.4722222222222,8.69444444444444,4.13888888888889,37.1666666666667,,42.1388888888889,22.9166666666667,24.8888888888889,10.0555555555556,0,,100,0,0,0,0,,0.813814197508858,0.338782051282051,,242,562,762,1002,1222,1482,1802,2102,282,502,842,1042,0,0,1,
13,0.100555555555556,8,18.6583333333333,1,0.00144102106635559,0.00112468758678145,,0,0,0,,0.396838571428571,0.115555593128046,8,4.04777777777778,1,0.00583333333333333,0.557377049180328,0.096607468123861,24.3405833,,0.100555555555556,69.3333333333333,26.4444444444444,3.13888888888889,1.08333333333333,0,,85.0833333333333,14.3333333333333,0.583333333333333,0,0,,100,0,0,0,0,,0.441752938193487,0.310972222222222,,381,741,1041,1321,1561,1901,2181,2461,382,722,962,1202,0,0,1,
13,0.230555555555556,8,19.3807692307692,2,0.0427994972547463,0.044431441001838,,0,0,0,,0.57781630952381,0.156122702893088,8,4.19916666666667,2,0.179722222222222,1,0.223278688524591,24.6803725,,0.230555555555556,59.1388888888889,18.1944444444444,6.69444444444444,3.52777777777778,12.4444444444444,,71.9166666666667,14.5277777777778,11.9166666666667,1.63888888888889,0,,100,0,0,0,0,,0.762149303461112,0.32301282051282,,281,561,961,1161,1481,1681,1961,2321,381,581,961,1341,0,0,1,
13,0.148333333333333,8,18.8305555555556,2,0.0177117263843648,0.0121894050594412,,0,0.125,0.00390625,,0.626919539170507,0.131060037414229,8,4.09305555555556,2,0.0725,1,0.144385245901639,24.891152,,0.148333333333333,64.3055555555556,22.5555555555556,6.72222222222222,2.25,4.16666666666667,,80.4722222222222,13.8611111111111,4.08333333333333,1.58333333333333,0,,100,0,0,0,0,,0.724004722788818,0.313842592592593,,382,602,882,1102,1502,1742,2042,2422,322,582,842,1142,0,0,1,
13,0.119444444444444,8,18.7097222222222,2,0.00681663258350375,0.00588262519670462,,0,0,0,,0.586563084415584,0.12076712771444,8,4.07472222222222,2,0.0277777777777778,1,0.11549635701275,24.4932723,,0.119444444444444,67.0833333333333,26.2222222222222,4.22222222222222,0.944444444444444,1.52777777777778,,85.8888888888889,11.5277777777778,2.38888888888889,0.194444444444444,0,,100,0,0,0,0,,0.559468641297483,0.311828703703704,,261,601,921,1201,1421,1761,2061,2401,322,562,962,1202,0,0,1,
13,0.192222222222222,8,19.0653846153846,1,0.0225270661018089,0.0282180214490684,,0,0.125,0.0221656976744186,,0.451976470588235,0.135582837682145,8,4.13083333333333,1,0.0930555555555556,1,0.188274134790529,24.6576227,,0.192222222222222,59.0833333333333,20.6666666666667,8.47222222222222,4.38888888888889,7.38888888888889,,76.4444444444444,17.9444444444444,5.61111111111111,0,0,,100,0,0,0,0,,0.65344706646188,0.31775641025641,,341,561,881,1161,1401,1721,1941,2141,362,622,902,1182,0,0,1,
13,0.285555555555556,9,19.5,2,0.0580539119000657,0.0503830505635561,,0,0.111111111111111,0.035273368606702,,0.623504285714286,0.174318581656353,9,4.225,2,0.262777777777778,1,0.281607468123863,24.4596833,,0.285555555555556,48.2777777777778,25.2222222222222,5.27777777777778,3.72222222222222,17.5,,62.8611111111111,16.1666666666667,18.6111111111111,2.36111111111111,0,,100,0,0,0,0,,0.823706898732935,0.325,,241,501,861,1061,1261,1641,1921,2121,342,562,802,1002,0,0,1,
