compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39,compl_total40,compl_total41,compl_total42,compl_total43,compl_total44,compl_total45_1,compl_total45_2,compl_total45_3,compl_total45_4,compl_total45_5,compl_total45_6,compl_total45_7,compl_total45_8,compl_total46_1,compl_total46_2,compl_total46_3,compl_total46_4,compl_total47,compl_total48,compl_total49,compl_total50
12,0.0936111111111111,8,20.2783333333333,0,0,,,0,0,0,,0.377677142857143,0.113746717957263,8,3.91694444444444,1,0.0291666666666667,0.557377049180328,0.0936111111111107,29.5051055,,0.0936111111111111,69.6944444444444,26.5,2.58333333333333,1.22222222222222,0,,85.6944444444444,11.3888888888889,2.91666666666667,0,0,,100,0,0,0,0,,0.386311723008651,0.337972222222222,,382,782,1162,1422,1822,2122,2462,2802,282,582,922,1162,0,0,0,
12,0.256388888888889,8,21.1736111111111,0.045785503443752,0.0566122505653192,,,0,0.125,0.00533707865168539,,0.572112857142857,0.170100859078288,8,4.23472222222222,2,0.258888888888889,1,0.253132969034609,24.6149163,,0.256388888888889,53.8611111111111,21.9722222222222,5.97222222222222,3.08333333333333,15.1111111111111,,63.1388888888889,17.3888888888889,18.6666666666667,0.805555555555556,0,,100,0,0,0,0,,0.634934091493355,0.352893518518519,,202,442,842,1242,1482,1742,1962,2242,301,601,861,1161,0,0,0,
12,0.131666666666667,9,21.5736111111111,0.00128758127856821,0.000617112530469931,,,0,0.111111111111111,0.0126262626262626,,1.01183714285714,0.202193550819263,9,4.31472222222222,4,0.407777777777778,0.737704918032787,0.131666666666666,23.5756476,,0.131666666666667,62.8611111111111,24.5555555555556,9.44444444444444,2.86111111111111,0.277777777777778,,65.5555555555556,17.2222222222222,5.16666666666667,1,11.0555555555556,,100,0,0,0,0,,0.513571045042816,0.359560185185185,,202,462,762,962,1222,1562,1962,2242,242,542,842,1222,0,0,0,
12,0.276388888888889,9,20.8878787878788,0.0510413223140496,0.0574569233413998,,,0,0,0,,0.809884621848739,0.175054710605083,9,4.20111111111111,3,0.285555555555556,1,0.276388888888888,23.1502778,,0.276388888888889,50.9444444444444,22.8888888888889,4.41666666666667,3.02777777777778,18.7222222222222,,58.0555555555556,25.3055555555556,10.3888888888889,5.77777777777778,0.472222222222222,,100,0,0,0,0,,0.77741919339867,0.348131313131313,,261,561,901,1121,1441,1641,1941,2261,341,601,961,1201,0,0,0,
12,0.126944444444444,9,20.3469696969697,0.0080534140969163,0.0104501395115113,,,0,0,0,,0.422338952380952,0.1200803197453,9,4.03527777777778,1,0.0488888888888889,1,0.126944444444444,23.5491527,,0.126944444444444,66.5833333333333,21.7222222222222,8.75,0.555555555555556,2.38888888888889,,80.5555555555556,14.5555555555556,4.88888888888889,0,0,,100,0,0,0,0,,0.505695627514252,0.339116161616162,,341,661,901,1301,1561,1941,2141,2501,402,742,1022,1222,0,0,0,
12,0.357777777777778,9,22.3861111111111,0.083509120238243,0.0979065559390474,,,0,0.111111111111111,0.0321395775941231,,0.892234085714286,0.282099840931906,9,4.47722222222222,3,0.755833333333333,1,0.353984517304188,23.7567084,,0.357777777777778,40.9722222222222,24.8333333333333,7.55555555555556,2.66666666666667,23.9722222222222,,45.3888888888889,20.5833333333333,15.9166666666667,8.30555555555556,9.80555555555556,,100,0,0,0,0,,0.638306504339202,0.373101851851852,,262,462,722,1042,1382,1662,1862,2222,281,681,901,1281,0,0,0,
12,0.0988888888888889,8,20.2166666666667,0,0,,,0,0,0,,0.21827875,0.108561391340463,8,3.97777777777778,0,0,0.524590163934426,0.0988888888888882,23.0650226,,0.0988888888888889,68,26.2222222222222,5.77777777777778,0,0,,83.9444444444444,16.0555555555556,0,0,0,,100,0,0,0,0,,0.193508668017132,0.336944444444444,,302,582,982,1262,1582,1902,2282,2622,222,462,782,1162,0,0,0,
12,0.0988888888888889,8,20.3242424242424,0.000967318455054239,0.000971952235490142,,,0,0,0,,0.377677142857143,0.116405049223913,8,4.02,1,0.0341666666666667,0.557377049180328,0.0988888888888884,21.1698566,,0.0988888888888889,71.25,18.4444444444444,8.97222222222222,1.33333333333333,0,,81.8888888888889,14.6944444444444,3.41666666666667,0,0,,100,0,0,0,0,,0.270722817657336,0.338737373737374,,341,701,961,1241,1641,1881,2281,2541,201,481,821,1081,0,0,0,
12,0.251944444444444,9,21.9944444444444,0.040035362465269,0.0389574324592375,,,0,0.111111111111111,0.0607734806629833,,1.09107428571429,0.248784887471974,9,4.39888888888889,4,0.613888888888889,1,0.248046448087432,24.0236961,,0.251944444444444,56.1666666666667,18.5,7.77777777777778,3.63888888888889,13.9166666666667,,53.6666666666667,17.25,12.0277777777778,8.55555555555556,8.5,,100,0,0,0,0,,0.617783580510891,0.366574074074074,,362,582,782,1082,1462,1722,1942,2322,341,661,941,1321,0,0,0,
12,0.0938888888888889,8,20.1683333333333,0,0,,,0,0,0,,0.218778181818182,0.107802543783526,8,3.89305555555556,0,0,0.524590163934426,0.0938888888888881,23.399074,,0.0938888888888889,68.1944444444444,30,1.80555555555556,0,0,,90,10,0,0,0,,100,0,0,0,0,,0.338995244905708,0.336138888888889,,302,602,962,1322,1682,2082,2482,2802,242,562,902,1302,0,0,0,
