compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39,compl_total40,compl_total41,compl_total42,compl_total43,compl_total44,compl_total45_1,compl_total45_2,compl_total45_3,compl_total45_4,compl_total45_5,compl_total45_6,compl_total45_7,compl_total45_8,compl_total46_1,compl_total46_2,compl_total46_3,compl_total46_4,compl_total47,compl_total48,compl_total49,compl_total50
13,0.200833333333333,7,19.1884615384615,2,0.0355448653704817,0.0528027928749951,,0,0.142857142857143,0.0348214285714286,,0.529638114285714,0.148883163922197,7,4.1575,2,0.149444444444444,1,0.194717668488161,21.4615633,,0.200833333333333,62.9166666666667,18.3888888888889,5.44444444444444,2.75,10.5,,81.5,11.3611111111111,7.13888888888889,0,0,,100,0,0,0,0,,0.712420665294802,0.319807692307692,,282,502,862,1202,1502,1742,1962,2162,221,501,861,1221,0,0,1,
13,0.131944444444444,8,18.7611111111111,1,0.0110982501531967,0.00864343237989447,,0,0.125,0.0727459016393443,,0.454764285714286,0.125093239184076,8,4.07944444444444,1,0.0452777777777778,1,0.12799635701275,23.4116099,,0.131944444444444,70.6111111111111,14.6944444444444,7.36111111111111,3.55555555555556,3.77777777777778,,86.6111111111111,8.86111111111111,4.52777777777778,0,0,,100,0,0,0,0,,0.628188470981276,0.312685185185185,,221,501,781,1101,1481,1701,2041,2421,241,461,761,1081,0,0,1,
13,0.311111111111111,9,19.6179487179487,2,0.0582930335903803,0.0659863001018241,,0,0,0,,0.604732857142857,0.178239137665072,9,4.25055555555556,2,0.280555555555556,1,0.307163023679418,23.4267567,,0.311111111111111,50.1944444444444,19.9722222222222,5.77777777777778,2.44444444444444,21.6111111111111,,57.2777777777778,24.0555555555556,18.0555555555556,0.611111111111111,0,,100,0,0,0,0,,0.760733353715756,0.326965811965812,,202,402,722,1042,1242,1442,1702,2082,241,641,981,1241,0,0,1,
13,0.169444444444444,8,18.9694444444444,2,0.0203545191076363,0.0123877626585208,,0,0.125,0.0476415094339623,,0.606988571428571,0.133653486641154,8,4.12111111111111,2,0.0838888888888889,1,0.165496357012752,21.4070269,,0.169444444444444,65.8888888888889,18.2222222222222,5.33333333333333,3.44444444444444,7.11111111111111,,74.2777777777778,17.5277777777778,8,0.194444444444444,0,,100,0,0,0,0,,0.774231978157729,0.316157407407407,,321,581,841,1181,1441,1741,2141,2421,342,622,822,1042,0,0,1,
13,0.1425,7,18.7680555555556,1,0.00805119735755574,0.00708136628714245,,0,0,0,,0.362089542857143,0.12136325743553,7,4.03638888888889,1,0.0325,1,0.138551912568306,23.8018873,,0.1425,62.6944444444444,28.6944444444444,4.36111111111111,0.555555555555556,3.69444444444444,,88.7222222222222,8.22222222222222,3.05555555555556,0,0,,100,0,0,0,0,,0.620792070064798,0.312800925925926,,201,581,921,1281,1681,1961,2201,2581,281,661,1001,1201,0,0,1,
