conflicta_min1,conflicta_min2,conflicta_min3,conflicta_min4
0,0,0,
0,0,0,
0,0.142857142857143,0.0251913265306122,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.142857142857143,0.0062111801242236,
0,0.142857142857143,0.00224215246636771,
0,0,0,
0,0.142857142857143,0.0516206482593037,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00390625,
0,0,0,
0,0.125,0.0221656976744186,
0,0.111111111111111,0.035273368606702,
0,0,0,
0,0,0,
0.111111111111111,0.111111111111111,0.111111111111111,
0,0.125,0.0198863636363636,
0,0,0,
0,0.125,0.00431034482758621,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.0604838709677419,
0,0,0,
0,0,0,
0,0.125,0.0198412698412698,
0,0,0,
0,0.142857142857143,0.032345013477089,
0,0,0,
0,0.125,0.0336538461538462,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.142857142857143,0.0253042921204356,
0,0.142857142857143,0.0859041290934977,
0,0.125,0.0467791411042945,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00167410714285714,
0,0.125,0.0194128787878788,
0,0,0,
0,0.142857142857143,0.0288865546218487,
0,0,0,
0,0.142857142857143,0.0385338345864661,
0,0,0,
0,0.142857142857143,0.0446428571428571,
0,0.125,0.0414402173913043,
0,0,0,
0,0,0,
0,0.125,0.0533216783216783,
0,0,0,
0,0.125,0.0704225352112676,
0,0.125,0.0654761904761905,
0,0,0,
0,0.142857142857143,0.0560991519895629,
0,0.125,0.0615079365079365,
0,0,0,
0,0,0,
0,0.142857142857143,0.0164835164835165,
0,0,0,
0,0.142857142857143,0.0389932647997164,
0,0.142857142857143,0.0459482038429406,
0,0.125,0.0355960264900662,
0,0.142857142857143,0.0028892455858748,
0,0.125,0.0104166666666667,
0,0.142857142857143,0.086907128656632,
0,0,0,
0,0.125,0.0711382113821138,
0,0.142857142857143,0.019859064702114,
0,0.142857142857143,0.00694444444444444,
0,0,0,
0,0.125,0.0789007092198582,
0,0.125,0.0444711538461538,
0,0.25,0.0218631178707224,
0,0,0,
