TT1,TT2,TT3,TT4,TT5,TT6,TT7,TT8,TT9,TT10,TT11,TT12
13,0.128333333333333,8,18.7680555555556,1,0.00847457627118644,0.00591105645257269,,0,0,0,
13,0.195,9,18.9527777777778,1,0.0259371833839919,0.015948281562,,0,0,0,
13,0.139166666666667,7,18.8602564102564,1,0.00679763442322072,0.00475397045794157,,0,0.142857142857143,0.0251913265306122,
13,0.0991666666666667,7,18.6583333333333,1,0.000488417527211834,0.000485976117745071,,0,0,0,
13,0.392222222222222,9,19.9025641025641,2,0.0793609894357124,0.0951309821345928,,0,0,0,
13,0.326944444444444,9,19.8205128205128,2,0.0703104786545925,0.0688109123127175,,0,0,0,
13,0.479166666666667,8,19.9222222222222,2,0.116094652033242,0.136184393224104,,0,0,0,
13,0.183055555555556,7,18.8694444444444,2,0.0217228464419476,0.0277932055910395,,0,0,0,
13,0.107777777777778,7,18.4727272727273,1,0.000502584721424469,0.000277700638711469,,0,0.142857142857143,0.0062111801242236,
13,0.1175,7,18.7041666666667,1,0.00680599477519593,0.00682217902434509,,0,0.142857142857143,0.00224215246636771,
13,0.100833333333333,8,18.6583333333333,1,0.000480373318693385,0.000485976117745071,,0,0,0,
13,0.238611111111111,7,18.6439393939394,2,0.0391810080946874,0.0483714841115563,,0,0.142857142857143,0.0516206482593037,
13,0.150277777777778,8,18.7097222222222,1,0.0118375774260151,0.0149131854908028,,0,0,0,
13,0.466388888888889,9,20.3269230769231,2,0.115925575528225,0.124939170336282,,0,0,0,
13,0.100555555555556,8,18.6583333333333,1,0.00144102106635559,0.00112468758678145,,0,0,0,
13,0.230555555555556,8,19.3807692307692,2,0.0427994972547463,0.044431441001838,,0,0,0,
13,0.148333333333333,8,18.8305555555556,2,0.0177117263843648,0.0121894050594412,,0,0.125,0.00390625,
13,0.119444444444444,8,18.7097222222222,2,0.00681663258350375,0.00588262519670462,,0,0,0,
13,0.192222222222222,8,19.0653846153846,1,0.0225270661018089,0.0282180214490684,,0,0.125,0.0221656976744186,
13,0.285555555555556,9,19.5,2,0.0580539119000657,0.0503830505635561,,0,0.111111111111111,0.035273368606702,
13,0.137777777777778,8,18.7416666666667,2,0.0125915280914254,0.00996482458576321,,0,0,0,
13,0.188611111111111,8,19.0097222222222,1,0.023678191847168,0.0205544756086273,,0,0,0,
13,0.323055555555556,9,19.6576923076923,2,0.0589578034305094,0.0640087850376663,,0.111111111111111,0.111111111111111,0.111111111111111,
13,0.285,8,19.2930555555556,2,0.057344130620844,0.0627858002406743,,0,0.125,0.0198863636363636,
13,0.108055555555556,8,18.6583333333333,1,0.000482991789139585,0.000323984078496714,,0,0,0,
13,0.151944444444444,8,18.9641025641026,1,0.0137236343969713,0.00939388529641237,,0,0.125,0.00431034482758621,
13,0.213055555555556,8,19.1487179487179,1,0.0251740760578468,0.0335191282844712,,0,0,0,
13,0.1425,9,18.7680555555556,1,0.00794243432217772,0.005577154494122,,0,0,0,
13,0.156666666666667,7,18.7069444444444,1,0.0134866844663517,0.0204341386651856,,0,0,0,
13,0.129444444444444,7,18.7722222222222,1,0.00695106991958566,0.00944182171618994,,0,0,0,
13,0.110833333333333,8,18.7097222222222,1,0.00686341798215511,0.0048286851535949,,0,0,0,
13,0.118333333333333,8,18.8153846153846,1,0.0023848460070864,0.00353142645561418,,0,0,0,
13,0.191111111111111,8,19.1384615384615,2,0.0278001071811361,0.0188195078086775,,0,0.125,0.0604838709677419,
13,0.133333333333333,8,18.7680555555556,1,0.00755909840571743,0.00461512013858584,,0,0,0,
13,0.400555555555556,9,19.8371794871795,2,0.08026885542558,0.0975076367675653,,0,0,0,
13,0.216666666666667,8,19.1083333333333,1,0.0304812111381454,0.0202053662342471,,0,0.125,0.0198412698412698,
13,0.156944444444444,8,18.7611111111111,1,0.012171902624779,0.00981737877044736,,0,0,0,
13,0.241944444444444,7,19.1166666666667,2,0.0409742313126556,0.0425496885785696,,0,0.142857142857143,0.032345013477089,
13,0.139722222222222,8,18.9102564102564,2,0.0126101694915254,0.0163697914600442,,0,0,0,
13,0.207777777777778,8,19.1416666666667,2,0.0346027708988689,0.03371980005554,,0,0.125,0.0336538461538462,
13,0.105555555555556,7,18.6583333333333,1,0.000967318455054239,0.00103674905118948,,0,0,0,
13,0.111666666666667,8,18.8153846153846,1,0.00190787680566912,0.00200870128667963,,0,0,0,
13,0.128611111111111,8,18.7041666666667,1,0.0062992125984252,0.00635471628251411,,0,0,0,
13,0.113611111111111,8,18.6583333333333,1,0.00191610210086909,0.00168471720818291,,0,0,0,
13,0.216388888888889,8,19.2461538461538,2,0.0359712230215827,0.0367847555573187,,0,0,0,
13,0.191666666666667,7,18.9527777777778,1,0.0251602023608769,0.0234756218510731,,0,0.142857142857143,0.0253042921204356,
13,0.189166666666667,7,18.6318181818182,1,0.0212765957446809,0.0232640404120548,,0,0.142857142857143,0.0859041290934977,
13,0.173055555555556,8,18.925,1,0.0212578103776148,0.019996760159215,,0,0.125,0.0467791411042945,
13,0.158888888888889,7,18.8152777777778,1,0.0138679115749005,0.0121494029436268,,0,0,0,
13,0.1425,7,18.7638888888889,1,0.0080307502230764,0.00547995927057299,,0,0,0,
13,0.135833333333333,8,18.7958333333333,1,0.0126269558056547,0.00931288927678818,,0,0,0,
13,0.158888888888889,8,18.9051282051282,1,0.01356300013563,0.00936446225254888,,0,0,0,
13,0.164444444444444,8,18.9083333333333,1,0.016721044045677,0.0113126644715092,,0,0.125,0.00167410714285714,
13,0.173888888888889,8,18.9291666666667,1,0.0210129310344828,0.0133332672141336,,0,0.125,0.0194128787878788,
13,0.103333333333333,7,18.4727272727273,0,0,0,,0,0,0,
13,0.17,7,18.7454545454545,1,0.0199752883031301,0.0132317742426045,,0,0.142857142857143,0.0288865546218487,
13,0.159722222222222,8,18.8138888888889,2,0.0197749744289124,0.0221095991854115,,0,0,0,
13,0.163888888888889,7,18.7680555555556,1,0.0149477851341205,0.019359701670171,,0,0.142857142857143,0.0385338345864661,
13,0.104722222222222,7,18.6583333333333,0,0,0,,0,0,0,
13,0.128055555555556,7,18.7611111111111,1,0.0113056666207087,0.00702714854339404,,0,0.142857142857143,0.0446428571428571,
13,0.170277777777778,8,19.0076923076923,2,0.0194253338729259,0.0226435117229341,,0,0.125,0.0414402173913043,
13,0.193055555555556,8,19.0930555555556,2,0.032072698115729,0.0309127094325649,,0,0,0,
13,0.0969444444444444,8,18.6583333333333,1,0.00144498727035024,0.00126816625011571,,0,0,0,
13,0.129166666666667,8,18.7611111111111,1,0.0114016522154707,0.00762916385660067,,0,0.125,0.0533216783216783,
13,0.128888888888889,8,18.6583333333333,1,0.0068719076415613,0.0121679163195409,,0,0,0,
13,0.191111111111111,8,19.1294871794872,2,0.0245962066885597,0.0200275055870724,,0,0.125,0.0704225352112676,
13,0.161388888888889,8,18.8680555555556,1,0.0201045982476397,0.0157132278070906,,0,0.125,0.0654761904761905,
13,0.124722222222222,8,18.7055555555556,1,0.00639351024336587,0.00394401026169979,,0,0,0,
13,0.141111111111111,7,18.5757575757576,1,0.0122755331088664,0.00791975773925233,,0,0.142857142857143,0.0560991519895629,
13,0.225555555555556,8,18.9263888888889,1,0.0323755564548766,0.0379692810198225,,0,0.125,0.0615079365079365,
13,0.173888888888889,7,18.8347222222222,2,0.0246963562753036,0.0327223919281682,,0,0,0,
13,0.130555555555556,7,18.9166666666667,1,0.00840393087089122,0.0124502453022309,,0,0,0,
13,0.119722222222222,7,18.7097222222222,1,0.0064812878946268,0.00415625289271498,,0,0.142857142857143,0.0164835164835165,
13,0.181666666666667,9,19.1448717948718,2,0.0269872095359271,0.0185864376297589,,0,0,0,
13,0.160277777777778,7,18.7121212121212,1,0.0155797600992693,0.0102511207204348,,0,0.142857142857143,0.0389932647997164,
13,0.162222222222222,7,18.9236111111111,1,0.0170746759925941,0.0113156398354954,,0,0.142857142857143,0.0459482038429406,
13,0.243333333333333,8,19.3628205128205,2,0.0449579553731047,0.0488210946694701,,0,0.125,0.0355960264900662,
13,0.145833333333333,7,18.8194444444444,1,0.0138964950711939,0.0120667539440103,,0,0.142857142857143,0.0028892455858748,
13,0.117777777777778,8,18.8153846153846,1,0.00190787680566912,0.00202490049060446,,0,0.125,0.0104166666666667,
13,0.225277777777778,7,19.0458333333333,1,0.03238455817727,0.0203733090014679,,0,0.142857142857143,0.086907128656632,
13,0.176388888888889,8,19.2166666666667,3,0.0303555941023417,0.0222987000965341,,0,0,0,
13,0.144722222222222,8,18.8819444444444,1,0.0153178798969771,0.0100633421933061,,0,0.125,0.0711382113821138,
13,0.186388888888889,7,18.7863636363636,2,0.0259651520327981,0.0280173496779996,,0,0.142857142857143,0.019859064702114,
13,0.130833333333333,7,18.6583333333333,1,0.0068530701754386,0.0108534666296399,,0,0.142857142857143,0.00694444444444444,
13,0.141666666666667,8,18.8208333333333,2,0.0133615106687572,0.0104369156715727,,0,0,0,
13,0.155555555555556,8,18.9641025641026,1,0.0151433207138994,0.0100921040451727,,0,0.125,0.0789007092198582,
13,0.127777777777778,8,18.7680555555556,1,0.00945788499760126,0.00572162494545166,,0,0.125,0.0444711538461538,
13,0.525833333333333,8,20.3402777777778,3,0.125101290282366,0.137188743867443,,0,0.25,0.0218631178707224,
13,0.255277777777778,8,19.0652777777778,2,0.0445995347291459,0.0637309742002882,,0,0,0,
13,0.181388888888889,9,19.1307692307692,2,0.0265379975874548,0.0222268505662007,,0,0.111111111111111,0.0656565656565657,
13,0.153333333333333,8,18.8194444444444,1,0.0128511860004101,0.00917668372542017,,0,0,0,
13,0.147222222222222,8,18.8777777777778,1,0.0144593035096056,0.0141951309821346,,0,0,0,
13,0.195555555555556,8,19.125641025641,2,0.0274835768869822,0.0177245738617579,,0,0.125,0.0563063063063063,
13,0.436111111111111,9,20.3384615384615,3,0.107286938981341,0.124519313418231,,0,0,0,
13,0.330833333333333,8,19.824358974359,2,0.0684213930026515,0.0886486557966703,,0,0,0,
13,0.271111111111111,9,19.4666666666667,2,0.0503161222339305,0.0527611377791884,,0,0,0,
13,0.274722222222222,7,19.1972222222222,2,0.0505271533717923,0.0606775895584565,,0,0.142857142857143,0.0037037037037037,
13,0.1725,8,18.9538461538462,2,0.0190070346320346,0.0225400351754143,,0,0,0,
13,0.106388888888889,7,18.6583333333333,1,0.000958051050434545,0.00161992039248357,,0,0,0,
13,0.150555555555556,7,18.8236111111111,1,0.0141493466928441,0.0123100725988813,,0,0.142857142857143,0.022342586323629,
13,0.121388888888889,7,18.6583333333333,1,0.00542843399986257,0.010969175229103,,0,0,0,
13,0.104166666666667,8,18.6583333333333,1,0.00144498727035024,0.00120336943441637,,0,0,0,
13,0.0966666666666667,8,18.6583333333333,1,0.000963324846900158,0.000925668795704897,,0,0,0,
13,0.173055555555556,7,18.8138888888889,2,0.01870239390642,0.0242988058872536,,0,0,0,
13,0.478888888888889,9,20.125641025641,2,0.107848133520194,0.124331534891102,,0,0,0,
13,0.2,8,19.1320512820513,2,0.02780942169805,0.0247097367133467,,0,0.125,0.0268485915492958,
13,0.182222222222222,8,18.7416666666667,1,0.0198487712665406,0.0232643710080533,,0,0.125,0.0376908396946565,
13,0.180277777777778,8,19.0384615384615,1,0.0199326599326599,0.0130902791552611,,0,0,0,
13,0.211944444444444,9,19.2346153846154,3,0.0377924415116977,0.0246221287737534,,0,0,0,
13,0.137222222222222,8,18.7680555555556,1,0.0099104640831112,0.00565848110974464,,0,0.125,0.0393518518518519,
13,0.192777777777778,8,18.9041666666667,1,0.024680505781324,0.0221631557371629,,0,0,0,
13,0.187777777777778,8,18.9625,1,0.0248118771608704,0.0180082252284418,,0,0.125,0.0762195121951219,
13,0.148055555555556,7,18.7305555555556,2,0.0178619940233632,0.0219985189299268,,0,0,0,
13,0.0963888888888889,8,18.6583333333333,1,0.000485033259423503,0.000485976117745071,,0,0,0,
13,0.107222222222222,7,18.4727272727273,0,0,0,,0,0,0,
13,0.216388888888889,8,19.1472222222222,2,0.0429950083194676,0.0374604937781834,,0,0.125,0.0257270693512304,
13,0.162777777777778,8,19.0141025641026,2,0.0182051109163239,0.0117923592652834,,0,0.125,0.040983606557377,
13,0.105555555555556,8,18.6583333333333,1,0.00240170177725932,0.00186753679533463,,0,0.125,0.00825471698113208,
13,0.151388888888889,7,18.7680555555556,1,0.0159498330038852,0.0188214913846683,,0,0.142857142857143,0.0263450834879406,
