compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39,compl_total40,compl_total41,compl_total42,compl_total43,compl_total44,compl_total45_1,compl_total45_2,compl_total45_3,compl_total45_4,compl_total45_5,compl_total45_6,compl_total45_7,compl_total45_8,compl_total46_1,compl_total46_2,compl_total46_3,compl_total46_4,compl_total47,compl_total48,compl_total49,compl_total50
13,0.1425,7,18.7680555555556,1,0.00805119735755574,0.00708136628714245,,0,0,0,,0.362089542857143,0.12136325743553,7,4.03638888888889,1,0.0325,1,0.138551912568306,0.410066915,,0.1425,62.6944444444444,28.6944444444444,4.36111111111111,0.555555555555556,3.69444444444444,,88.7222222222222,8.22222222222222,3.05555555555556,0,0,,100,0,0,0,0,,0.620792070064798,0.312800925925926,,402,682,1002,1262,1642,1902,2202,2562,302,562,882,1222,0,0,1,
13,0.1425,7,18.7680555555556,1,0.00805119735755574,0.00708136628714245,,0,0,0,,0.362089542857143,0.12136325743553,7,4.03638888888889,1,0.0325,1,0.138551912568306,0.401576315,,0.1425,62.6944444444444,28.6944444444444,4.36111111111111,0.555555555555556,3.69444444444444,,88.7222222222222,8.22222222222222,3.05555555555556,0,0,,100,0,0,0,0,,0.620792070064798,0.312800925925926,,302,582,882,1102,1482,1762,2022,2342,322,542,762,1102,0,0,1,
13,0.1425,7,18.7680555555556,1,0.00805119735755574,0.00708136628714245,,0,0,0,,0.362089542857143,0.12136325743553,7,4.03638888888889,1,0.0325,1,0.138551912568306,0.391153643333333,,0.1425,62.6944444444444,28.6944444444444,4.36111111111111,0.555555555555556,3.69444444444444,,88.7222222222222,8.22222222222222,3.05555555555556,0,0,,100,0,0,0,0,,0.620792070064798,0.312800925925926,,362,622,902,1222,1462,1782,2002,2322,221,601,1001,1381,0,0,1,
13,0.1425,7,18.7680555555556,1,0.00805119735755574,0.00708136628714245,,0,0,0,,0.362089542857143,0.12136325743553,7,4.03638888888889,1,0.0325,1,0.138551912568306,0.385606851666667,,0.1425,62.6944444444444,28.6944444444444,4.36111111111111,0.555555555555556,3.69444444444444,,88.7222222222222,8.22222222222222,3.05555555555556,0,0,,100,0,0,0,0,,0.620792070064798,0.312800925925926,,362,742,1102,1302,1542,1822,2202,2462,402,602,802,1162,0,0,1,
13,0.1425,7,18.7680555555556,1,0.00805119735755574,0.00708136628714245,,0,0,0,,0.362089542857143,0.12136325743553,7,4.03638888888889,1,0.0325,1,0.138551912568306,0.38107691,,0.1425,62.6944444444444,28.6944444444444,4.36111111111111,0.555555555555556,3.69444444444444,,88.7222222222222,8.22222222222222,3.05555555555556,0,0,,100,0,0,0,0,,0.620792070064798,0.312800925925926,,201,461,761,1101,1361,1581,1921,2281,202,502,782,1002,0,0,1,
